"GeneID","Description"
"LOC126317314","large subunit ribosomal RNA"
"LOC126317316","large subunit ribosomal RNA"
"LOC126317319","large subunit ribosomal RNA"
"LOC126317320","large subunit ribosomal RNA"
"LOC126317321","large subunit ribosomal RNA"
"LOC126317323","large subunit ribosomal RNA"
"LOC126317325","large subunit ribosomal RNA"
"LOC126317328","large subunit ribosomal RNA"
"LOC126317329","large subunit ribosomal RNA"
"LOC126317330","large subunit ribosomal RNA"
"LOC126317331","large subunit ribosomal RNA"
"LOC126317333","large subunit ribosomal RNA"
"LOC126317334","large subunit ribosomal RNA"
"LOC126317335","large subunit ribosomal RNA"
"LOC126317381","large subunit ribosomal RNA"
"LOC126317399","uncharacterized LOC126317399"
"LOC126317402","small subunit ribosomal RNA"
"LOC126317419","small subunit ribosomal RNA"
"LOC126317423","small subunit ribosomal RNA"
"LOC126317424","large subunit ribosomal RNA"
"LOC126317427","large subunit ribosomal RNA"
"LOC126317428","large subunit ribosomal RNA"
"LOC126317431","large subunit ribosomal RNA"
"LOC126317432","large subunit ribosomal RNA"
"LOC126317435","large subunit ribosomal RNA"
"LOC126317436","large subunit ribosomal RNA"
"LOC126317437","large subunit ribosomal RNA"
"LOC126317438","large subunit ribosomal RNA"
"LOC126317441","leucine--tRNA ligase-like"
"LOC126317442","glutathione synthetase-like"
"LOC126317444","RAB11-binding protein RELCH-like"
"LOC126317445","serine/threonine-protein phosphatase 6 catalytic subunit-like"
"LOC126317446","survival of motor neuron-related-splicing factor 30-like"
"LOC126317447","nascent polypeptide-associated complex subunit alpha%2C muscle-specific form-like"
"LOC126317448","ubiquitin carboxyl-terminal hydrolase 5-like"
"LOC126317450","heat shock 70 kDa protein-like"
"LOC126317451","uncharacterized LOC126317451"
"LOC126317452","proteasomal ubiquitin receptor ADRM1 homolog"
"LOC126317453","exportin-2-like"
"LOC126317454","pre-mRNA-processing factor 17-like"
"LOC126317455","antizyme inhibitor 2-like"
"LOC126317457","elongation factor-like GTPase 1"
"LOC126317458","uncharacterized LOC126317458"
"LOC126317459","uncharacterized LOC126317459"
"LOC126317460","ammonium transporter 1-like"
"LOC126317461","actin-related protein 2/3 complex subunit 2-like"
"LOC126317462","uncharacterized LOC126317462"
"LOC126317464","uncharacterized LOC126317464"
"LOC126317465","uncharacterized LOC126317465"
"LOC126317466","uncharacterized LOC126317466"
"LOC126317467","small nuclear ribonucleoprotein-associated protein B-like"
"LOC126317468","uncharacterized LOC126317468"
"LOC126317469","GTPase-activating Rap/Ran-GAP domain-like protein 3"
"LOC126317471","uncharacterized LOC126317471"
"LOC126317472","inositol polyphosphate 5-phosphatase OCRL-like"
"LOC126317473","DDB1- and CUL4-associated factor 5-like"
"LOC126317474","tRNA (guanine(26)-N(2))-dimethyltransferase-like"
"LOC126317476","uncharacterized LOC126317476"
"LOC126317477","transmembrane protein 144 homolog"
"LOC126317478","uncharacterized LOC126317478"
"LOC126317479","uncharacterized LOC126317479"
"LOC126317482","uncharacterized LOC126317482"
"LOC126317483","cytosolic purine 5'-nucleotidase-like"
"LOC126317484","protein MEMO1 homolog"
"LOC126317485","YEATS domain-containing protein 4-like"
"LOC126317486","ribosome maturation protein SBDS-like"
"LOC126317489","dual specificity protein phosphatase 5-like"
"LOC126317490","uncharacterized LOC126317490"
"LOC126317491","T-complex protein 1 subunit gamma-like"
"LOC126317492","uncharacterized LOC126317492"
"LOC126317493","uncharacterized LOC126317493"
"LOC126317495","uncharacterized LOC126317495"
"LOC126317496","tRNA N6-adenosine threonylcarbamoyltransferase-like"
"LOC126317497","proteasome subunit alpha type-6-like"
"LOC126317498","retinol dehydrogenase 14-like"
"LOC126317499","uncharacterized LOC126317499"
"LOC126317501","uncharacterized LOC126317501"
"LOC126317502","5'-AMP-activated protein kinase subunit gamma-1-like"
"LOC126317503","40-kDa huntingtin-associated protein-like"
"LOC126317505","uncharacterized LOC126317505"
"LOC126317506","uncharacterized LOC126317506"
"LOC126317508","uncharacterized LOC126317508"
"LOC126317509","uncharacterized LOC126317509"
"LOC126317513","ubiquitin-like domain-containing CTD phosphatase 1"
"LOC126317514","uncharacterized LOC126317514"
"LOC126317515","probable transcriptional regulatory protein Ddes_0536"
"LOC126317516","uncharacterized protein DDB_G0271670-like"
"LOC126317517","protein BUD31 homolog"
"LOC126317518","non-structural maintenance of chromosomes element 1 homolog"
"LOC126317519","uncharacterized LOC126317519"
"LOC126317521","dihydroorotate dehydrogenase (quinone)%2C mitochondrial-like"
"LOC126317522","uncharacterized LOC126317522"
"LOC126317523","uncharacterized LOC126317523"
"LOC126317525","rapamycin-insensitive companion of mTOR-like"
"LOC126317534","large subunit ribosomal RNA"
"LOC126317535","large subunit ribosomal RNA"
"LOC126317537","large subunit ribosomal RNA"
"LOC126317538","large subunit ribosomal RNA"
"LOC126317539","large subunit ribosomal RNA"
"LOC126317557","5.8S ribosomal RNA"
"LOC126317559","small subunit ribosomal RNA"
"LOC126317567","small subunit ribosomal RNA"
"LOC126317576","small subunit ribosomal RNA"
"LOC126317582","large subunit ribosomal RNA"
"LOC126317583","large subunit ribosomal RNA"
"LOC126317585","large subunit ribosomal RNA"
"LOC126317588","large subunit ribosomal RNA"
"LOC126317593","large subunit ribosomal RNA"
"LOC126317616","large subunit ribosomal RNA"
"LOC126317617","large subunit ribosomal RNA"
"LOC126317634","large subunit ribosomal RNA"
"LOC126317640","5.8S ribosomal RNA"
"LOC126317648","small subunit ribosomal RNA"
"LOC126317649","small subunit ribosomal RNA"
"LOC126317650","small subunit ribosomal RNA"
"LOC126317651","small subunit ribosomal RNA"
"LOC126317652","small subunit ribosomal RNA"
"LOC126317653","small subunit ribosomal RNA"
"LOC126317655","small subunit ribosomal RNA"
"LOC126317657","small subunit ribosomal RNA"
"LOC126317660","small subunit ribosomal RNA"
"LOC126317663","small subunit ribosomal RNA"
"LOC126317664","small subunit ribosomal RNA"
"LOC126317665","small subunit ribosomal RNA"
"LOC126317667","large subunit ribosomal RNA"
"LOC126317668","large subunit ribosomal RNA"
"LOC126317675","large subunit ribosomal RNA"
"LOC126317677","large subunit ribosomal RNA"
"LOC126317679","large subunit ribosomal RNA"
"LOC126317681","large subunit ribosomal RNA"
"LOC126317683","large subunit ribosomal RNA"
"LOC126317684","large subunit ribosomal RNA"
"LOC126317685","large subunit ribosomal RNA"
"LOC126317686","large subunit ribosomal RNA"
"LOC126317687","large subunit ribosomal RNA"
"LOC126317689","large subunit ribosomal RNA"
"LOC126317692","large subunit ribosomal RNA"
"LOC126317693","large subunit ribosomal RNA"
"LOC126317695","large subunit ribosomal RNA"
"LOC126317696","large subunit ribosomal RNA"
"LOC126317698","large subunit ribosomal RNA"
"LOC126317700","large subunit ribosomal RNA"
"LOC126317774","small subunit ribosomal RNA"
"LOC126317777","large subunit ribosomal RNA"
"LOC126317782","large subunit ribosomal RNA"
"LOC126317785","large subunit ribosomal RNA"
"LOC126317786","large subunit ribosomal RNA"
"LOC126317794","small subunit ribosomal RNA"
"LOC126317799","large subunit ribosomal RNA"
"LOC126317800","large subunit ribosomal RNA"
"LOC126317803","large subunit ribosomal RNA"
"LOC126317811","large subunit ribosomal RNA"
"LOC126317812","large subunit ribosomal RNA"
"LOC126317818","small subunit ribosomal RNA"
"LOC126317834","small subunit ribosomal RNA"
"LOC126317838","small subunit ribosomal RNA"
"LOC126317871","small subunit ribosomal RNA"
"LOC126317872","small subunit ribosomal RNA"
"LOC126317878","small subunit ribosomal RNA"
"LOC126317886","small subunit ribosomal RNA"
"LOC126317890","small subunit ribosomal RNA"
"LOC126317891","small subunit ribosomal RNA"
"LOC126317894","small subunit ribosomal RNA"
"LOC126317896","small subunit ribosomal RNA"
"LOC126317898","small subunit ribosomal RNA"
"LOC126317901","small subunit ribosomal RNA"
"LOC126317902","small subunit ribosomal RNA"
"LOC126317903","large subunit ribosomal RNA"
"LOC126317905","large subunit ribosomal RNA"
"LOC126317908","large subunit ribosomal RNA"
"LOC126317909","large subunit ribosomal RNA"
"LOC126317914","large subunit ribosomal RNA"
"LOC126317915","large subunit ribosomal RNA"
"LOC126317918","large subunit ribosomal RNA"
"LOC126317926","large subunit ribosomal RNA"
"LOC126317928","large subunit ribosomal RNA"
"LOC126317929","large subunit ribosomal RNA"
"LOC126317933","large subunit ribosomal RNA"
"LOC126317934","large subunit ribosomal RNA"
"LOC126317936","large subunit ribosomal RNA"
"LOC126317938","5.8S ribosomal RNA"
"LOC126317940","large subunit ribosomal RNA"
"LOC126317941","large subunit ribosomal RNA"
"LOC126317942","large subunit ribosomal RNA"
"LOC126317944","large subunit ribosomal RNA"
"LOC126317945","5.8S ribosomal RNA"
"LOC126317946","large subunit ribosomal RNA"
"LOC126317947","large subunit ribosomal RNA"
"LOC126317948","large subunit ribosomal RNA"
"LOC126317949","large subunit ribosomal RNA"
"LOC126317951","large subunit ribosomal RNA"
"LOC126317952","large subunit ribosomal RNA"
"LOC126317953","large subunit ribosomal RNA"
"LOC126317956","large subunit ribosomal RNA"
"LOC126317958","large subunit ribosomal RNA"
"LOC126317959","large subunit ribosomal RNA"
"LOC126317960","large subunit ribosomal RNA"
"LOC126317963","large subunit ribosomal RNA"
"LOC126318030","small subunit ribosomal RNA"
"LOC126318034","small subunit ribosomal RNA"
"LOC126318035","small subunit ribosomal RNA"
"LOC126318036","small subunit ribosomal RNA"
"LOC126318038","small subunit ribosomal RNA"
"LOC126318039","large subunit ribosomal RNA"
"LOC126318040","large subunit ribosomal RNA"
"LOC126318047","large subunit ribosomal RNA"
"LOC126318048","large subunit ribosomal RNA"
"LOC126318050","large subunit ribosomal RNA"
"LOC126318051","large subunit ribosomal RNA"
"LOC126318055","large subunit ribosomal RNA"
"LOC126318068","small subunit ribosomal RNA"
"LOC126318070","small subunit ribosomal RNA"
"LOC126318071","small subunit ribosomal RNA"
"LOC126318075","small subunit ribosomal RNA"
"LOC126318077","small subunit ribosomal RNA"
"LOC126318078","small subunit ribosomal RNA"
"LOC126318079","large subunit ribosomal RNA"
"LOC126318084","large subunit ribosomal RNA"
"LOC126318085","large subunit ribosomal RNA"
"LOC126318086","large subunit ribosomal RNA"
"LOC126318089","large subunit ribosomal RNA"
"LOC126318090","large subunit ribosomal RNA"
"LOC126318091","large subunit ribosomal RNA"
"LOC126318151","small subunit ribosomal RNA"
"LOC126318153","small subunit ribosomal RNA"
"LOC126318154","large subunit ribosomal RNA"
"LOC126318157","large subunit ribosomal RNA"
"LOC126318159","large subunit ribosomal RNA"
"LOC126318160","large subunit ribosomal RNA"
"LOC126318164","large subunit ribosomal RNA"
"LOC126318168","tetratricopeptide repeat protein 7B-like"
"LOC126318178","small subunit ribosomal RNA"
"LOC126318179","large subunit ribosomal RNA"
"LOC126318183","large subunit ribosomal RNA"
"LOC126318184","large subunit ribosomal RNA"
"LOC126318193","uncharacterized LOC126318193"
"LOC126318194","uncharacterized LOC126318194"
"LOC126318197","uncharacterized LOC126318197"
"LOC126318198","uncharacterized LOC126318198"
"LOC126318199","RING finger protein 121-like"
"LOC126318201","dynactin subunit 2-B-like"
"LOC126318202","vacuole membrane protein 1 homolog"
"LOC126318203","probable asparagine--tRNA ligase%2C mitochondrial"
"LOC126318204","SUMO-activating enzyme subunit 1-like"
"LOC126318207","uncharacterized LOC126318207"
"LOC126318208","phosphatidylinositol glycan anchor biosynthesis class U protein-like"
"LOC126318209","vacuolar protein sorting-associated protein 29-like"
"LOC126318210","probable small nuclear ribonucleoprotein G"
"LOC126318211","uncharacterized LOC126318211"
"LOC126318213","src kinase-associated phosphoprotein 2-like"
"LOC126318214","uncharacterized LOC126318214"
"LOC126318215","general transcription factor 3C polypeptide 3-like"
"LOC126318216","katanin p60 ATPase-containing subunit A-like 1"
"LOC126318217","uncharacterized LOC126318217"
"LOC126318218","30S ribosomal protein S9-like"
"LOC126318220","uncharacterized LOC126318220"
"LOC126318221","coiled-coil domain-containing protein 22-like"
"LOC126318222","uncharacterized LOC126318222"
"LOC126318224","uncharacterized LOC126318224"
"LOC126318225","uncharacterized LOC126318225"
"LOC126318226","uncharacterized LOC126318226"
"LOC126318228","CWF19-like protein 2"
"LOC126318229","26S proteasome regulatory subunit 8-like"
"LOC126318230","E3 SUMO-protein ligase RanBP2-like"
"LOC126318231","uncharacterized LOC126318231"
"LOC126318232","uncharacterized LOC126318232"
"LOC126318234","uncharacterized LOC126318234"
"LOC126318235","uncharacterized LOC126318235"
"LOC126318236","AP-4 complex subunit beta-like"
"LOC126318237","uncharacterized RNA pseudouridine synthase aq_1758-like"
"LOC126318238","probable splicing factor YJU2B"
"LOC126318239","probable myosin light chain kinase DDB_G0279831"
"LOC126318240","tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A-like"
"LOC126318242","uncharacterized LOC126318242"
"LOC126318244","uncharacterized LOC126318244"
"LOC126318245","uncharacterized LOC126318245"
"LOC126318246","dnaJ homolog subfamily C member 2-like"
"LOC126318247","uncharacterized LOC126318247"
"LOC126318249","multifunctional methyltransferase subunit TRM112-like protein"
"LOC126318250","uncharacterized LOC126318250"
"LOC126318264","large subunit ribosomal RNA"
"LOC126318265","large subunit ribosomal RNA"
"LOC126318272","uncharacterized LOC126318272"
"LOC126318273","uncharacterized LOC126318273"
"LOC126318274","uncharacterized LOC126318274"
"LOC126318275","uncharacterized LOC126318275"
"LOC126318277","uncharacterized LOC126318277"
"LOC126318278","uncharacterized LOC126318278"
"LOC126318279","uncharacterized LOC126318279"
"LOC126318280","endoplasmin-like"
"LOC126318281","cullin-3-like"
"LOC126318284","RAC family serine/threonine-protein kinase homolog"
"LOC126318285","BUD13 homolog"
"LOC126318286","uncharacterized LOC126318286"
"LOC126318287","protein CLP1 homolog"
"LOC126318289","ubiquitin-protein ligase E3B-like"
"LOC126318290","uncharacterized LOC126318290"
"LOC126318291","uncharacterized LOC126318291"
"LOC126318292","uncharacterized LOC126318292"
"LOC126318293","pyridoxal kinase-like"
"LOC126318294","F-actin-capping protein subunit beta-like"
"LOC126318298","uncharacterized LOC126318298"
"LOC126318300","uncharacterized LOC126318300"
"LOC126318301","uncharacterized LOC126318301"
"LOC126318303","uncharacterized LOC126318303"
"LOC126318304","citramalyl-CoA lyase%2C mitochondrial-like"
"LOC126318305","uncharacterized LOC126318305"
"LOC126318306","tetratricopeptide repeat protein 27 homolog"
"LOC126318307","uncharacterized LOC126318307"
"LOC126318308","malate synthase-like"
"LOC126318310","chaperone protein DnaK-like"
"LOC126318311","peroxisome biogenesis factor 1-like"
"LOC126318312","NEDD8-activating enzyme E1 catalytic subunit-like"
"LOC126318313","acyl-CoA-binding domain-containing protein 6-like"
"LOC126318314","transcription elongation factor SPT6-like"
"LOC126318315","histone demethylase UTY-like"
"LOC126318317","apoptosis-inducing factor 3-like"
"LOC126318318","protein MCM10 homolog"
"LOC126318319","uncharacterized LOC126318319"
"LOC126318321","uncharacterized LOC126318321"
"LOC126318323","cleavage and polyadenylation specificity factor subunit 2-like"
"LOC126318324","protein tipD-like"
"LOC126318325","uncharacterized LOC126318325"
"LOC126318326","uncharacterized LOC126318326"
"LOC126318327","uncharacterized LOC126318327"
"LOC126318328","developmentally-regulated GTP-binding protein 1-like"
"LOC126318329","uncharacterized LOC126318329"
"LOC126318331","uncharacterized LOC126318331"
"LOC126318332","pre-mRNA-processing factor 40 homolog A-like"
"LOC126318333","uncharacterized LOC126318333"
"LOC126318334","glycine--tRNA ligase-like"
"LOC126318335","probable tubulin polyglutamylase TTLL2"
"LOC126318338","uncharacterized LOC126318338"
"LOC126318339","zinc finger CCCH domain-containing protein 15 homolog"
"LOC126318340","uncharacterized LOC126318340"
"LOC126318342","protein transport protein SEC23-like"
"LOC126318343","60S ribosomal protein L5-like"
"LOC126318345","monoacylglycerol lipase ABHD2"
"LOC126318346","uncharacterized LOC126318346"
"LOC126318348","uncharacterized LOC126318348"
"LOC126318349","aflatoxin B1 aldehyde reductase member 4-like"
"LOC126318350","DNA topoisomerase 2%2C mitochondrial-like"
"LOC126318352","nicotinamidase-like"
"LOC126318353","DNA replication licensing factor mcm-5-like"
"LOC126318354","protein transport protein SEC31-like"
"LOC126318355","pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16-like"
"LOC126318356","uncharacterized LOC126318356"
"LOC126318357","uncharacterized LOC126318357"
"LOC126318360","uncharacterized LOC126318360"
"LOC126318361","uncharacterized LOC126318361"
"LOC126318362","vegetative catalase-like"
"LOC126318363","putative U5 small nuclear ribonucleoprotein 200 kDa helicase"
"LOC126318364","uncharacterized LOC126318364"
"LOC126318366","serine/threonine-protein kinase tor-like"
"LOC126318369","COP9 signalosome complex subunit 1-like"
"LOC126318370","pre-mRNA 3' end processing protein WDR33-like"
"LOC126318399","small subunit ribosomal RNA"
"LOC126318400","small subunit ribosomal RNA"
"LOC126318406","large subunit ribosomal RNA"
"LOC126318407","large subunit ribosomal RNA"
"LOC126318411","large subunit ribosomal RNA"
"LOC126318414","large subunit ribosomal RNA"
"LOC126318415","large subunit ribosomal RNA"
"LOC126318418","large subunit ribosomal RNA"
"LOC126318421","large subunit ribosomal RNA"
"LOC126318424","protein PYR1-3-like"
"LOC126318425","uncharacterized LOC126318425"
"LOC126318426","tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6-like"
"LOC126318427","uncharacterized LOC126318427"
"LOC126318428","citrate synthase-like"
"LOC126318430","glycerol-3-phosphate dehydrogenase [NAD(P)+]-like"
"LOC126318431","structural maintenance of chromosomes protein 5-like"
"LOC126318432","uncharacterized LOC126318432"
"LOC126318433","SEC14-like protein 2"
"LOC126318434","terminal nucleotidyltransferase 4B-like"
"LOC126318435","mitochondrial inner membrane protein OXA1L-like"
"LOC126318438","phosphatidylinositol 3-kinase VPS34-like"
"LOC126318439","valine--tRNA ligase-like"
"LOC126318440","myosin heavy chain IB-like"
"LOC126318441","elongation factor 1-gamma-A-like"
"LOC126318442","uncharacterized LOC126318442"
"LOC126318444","sarcoplasmic reticulum histidine-rich calcium-binding protein-like"
"LOC126318445","MKI67 FHA domain-interacting nucleolar phosphoprotein-like"
"LOC126318446","uncharacterized LOC126318446"
"LOC126318447","uncharacterized LOC126318447"
"LOC126318449","uncharacterized LOC126318449"
"LOC126318450","uncharacterized LOC126318450"
"LOC126318451","UDP-N-acetylglucosamine transporter slc35b4-like"
"LOC126318452","uncharacterized LOC126318452"
"LOC126318453","uncharacterized LOC126318453"
"LOC126318454","ribosome assembly factor mrt4-like"
"LOC126318456","eukaryotic translation initiation factor 4 gamma 3-like"
"LOC126318457","uncharacterized LOC126318457"
"LOC126318458","uncharacterized LOC126318458"
"LOC126318459","uncharacterized LOC126318459"
"LOC126318460","vacuolar protein sorting-associated protein 33A-like"
"LOC126318461","uncharacterized LOC126318461"
"LOC126318462","PAN2-PAN3 deadenylation complex catalytic subunit Pan2-like"
"LOC126318464","TNF receptor-associated protein 1 homolog%2C mitochondrial-like"
"LOC126318465","uncharacterized LOC126318465"
"LOC126318466","cyclin-C-like"
"LOC126318467","mitotic spindle assembly checkpoint protein MAD2A-like"
"LOC126318468","uncharacterized LOC126318468"
"LOC126318478","large subunit ribosomal RNA"
"LOC126318479","large subunit ribosomal RNA"
"LOC126318480","large subunit ribosomal RNA"
"LOC126318484","large subunit ribosomal RNA"
"LOC126318485","large subunit ribosomal RNA"
"LOC126318486","large subunit ribosomal RNA"
"LOC126318521","small subunit ribosomal RNA"
"LOC126318522","small subunit ribosomal RNA"
"LOC126318523","small subunit ribosomal RNA"
"LOC126318527","small subunit ribosomal RNA"
"LOC126318528","small subunit ribosomal RNA"
"LOC126318530","small subunit ribosomal RNA"
"LOC126318531","large subunit ribosomal RNA"
"LOC126318532","large subunit ribosomal RNA"
"LOC126318533","large subunit ribosomal RNA"
"LOC126318534","large subunit ribosomal RNA"
"LOC126318555","5.8S ribosomal RNA"
"LOC126318557","small subunit ribosomal RNA"
"LOC126318568","small subunit ribosomal RNA"
"LOC126318569","small subunit ribosomal RNA"
"LOC126318572","small subunit ribosomal RNA"
"LOC126318573","small subunit ribosomal RNA"
"LOC126318574","large subunit ribosomal RNA"
"LOC126318575","large subunit ribosomal RNA"
"LOC126318577","large subunit ribosomal RNA"
"LOC126318578","large subunit ribosomal RNA"
"LOC126318584","large subunit ribosomal RNA"
"LOC126318585","large subunit ribosomal RNA"
"LOC126318586","large subunit ribosomal RNA"
"LOC126318587","large subunit ribosomal RNA"
"LOC126318588","large subunit ribosomal RNA"
"LOC126318589","large subunit ribosomal RNA"
"LOC126318593","anaphase-promoting complex subunit 8-like"
"LOC126318594","protein SCAR-like"
"LOC126318595","uncharacterized LOC126318595"
"LOC126318596","uncharacterized LOC126318596"
"LOC126318597","uncharacterized LOC126318597"
"LOC126318598","ribosomal RNA-processing protein 8-like"
"LOC126318599","uncharacterized LOC126318599"
"LOC126318601","uncharacterized LOC126318601"
"LOC126318603","uncharacterized LOC126318603"
"LOC126318605","uncharacterized LOC126318605"
"LOC126318606","ribonuclease H-like"
"LOC126318610","uncharacterized LOC126318610"
"LOC126318611","uncharacterized LOC126318611"
"LOC126318612","splicing factor 3A subunit 3-like"
"LOC126318613","uncharacterized LOC126318613"
"LOC126318615","uncharacterized LOC126318615"
"LOC126318616","DNA-directed RNA polymerase II subunit rpb2-like"
"LOC126318617","transforming growth factor beta-1-induced transcript 1 protein-like"
"LOC126318619","uncharacterized LOC126318619"
"LOC126318620","NAD(P)H-hydrate epimerase-like"
"LOC126318621","uncharacterized LOC126318621"
"LOC126318622","serine/threonine-protein phosphatase 4 regulatory subunit 1-like"
"LOC126318624","sphingomyelinase DDB_G0288017-like"
"LOC126318625","uncharacterized LOC126318625"
"LOC126318626","protein timeless homolog"
"LOC126318627","uncharacterized LOC126318627"
"LOC126318629","uncharacterized LOC126318629"
"LOC126318630","adenine DNA glycosylase-like"
"LOC126318631","trafficking protein particle complex subunit 2-like protein"
"LOC126318632","uncharacterized LOC126318632"
"LOC126318634","uncharacterized LOC126318634"
"LOC126318636","uncharacterized LOC126318636"
"LOC126318637","uncharacterized LOC126318637"
"LOC126318638","4-hydroxybutyrate coenzyme A transferase-like"
"LOC126318639","uncharacterized LOC126318639"
"LOC126318640","probable dimethyladenosine transferase"
"LOC126318641","uncharacterized LOC126318641"
"LOC126318643","COP9 signalosome complex subunit 2-like"
"LOC126318644","GTPase Era-like"
"LOC126318645","uncharacterized LOC126318645"
"LOC126318646","uncharacterized LOC126318646"
"LOC126318647","uncharacterized LOC126318647"
"LOC126318648","33 kDa chaperonin-like"
"LOC126318650","uncharacterized LOC126318650"
"LOC126318651","elongation factor 1-beta-like"
"LOC126318653","uncharacterized LOC126318653"
"LOC126318654","uncharacterized LOC126318654"
"LOC126318655","uncharacterized LOC126318655"
"LOC126318658","OTU domain-containing protein DDB_G0284757-like"
"LOC126318670","pre-mRNA-processing-splicing factor 8-like"
"LOC126318671","uncharacterized LOC126318671"
"LOC126318672","chromatin-remodeling ATPase INO80-like"
"LOC126318673","pre-mRNA-processing factor 6-like"
"LOC126318674","rho-associated protein kinase let-502-like"
"LOC126318676","ras guanine nucleotide exchange factor A-like"
"LOC126318677","crooked neck-like protein 1"
"LOC126318678","uncharacterized LOC126318678"
"LOC126318679","uncharacterized LOC126318679"
"LOC126318680","tRNA pseudouridine(38/39) synthase-like"
"LOC126318682","uncharacterized LOC126318682"
"LOC126318683","uncharacterized LOC126318683"
"LOC126318684","uncharacterized LOC126318684"
"LOC126318685","uncharacterized LOC126318685"
"LOC126318686","probable Ras GTPase-activating-like protein ngap"
"LOC126318687","serine/threonine-protein phosphatase alpha-2 isoform-like"
"LOC126318689","zinc finger protein-like 1"
"LOC126318690","proteasome subunit beta type-4-like"
"LOC126318691","uncharacterized LOC126318691"
"LOC126318692","V-type proton ATPase subunit D-like"
"LOC126318693","gem-associated protein 2-like"
"LOC126318694","repressor of RNA polymerase III transcription-like"
"LOC126318696","uncharacterized LOC126318696"
"LOC126318697","50S ribosomal protein L7/L12-like"
"LOC126318698","uncharacterized LOC126318698"
"LOC126318699","uncharacterized LOC126318699"
"LOC126318701","uncharacterized LOC126318701"
"LOC126318704","uncharacterized LOC126318704"
"LOC126318705","rho GTPase-activating protein gacY-like"
"LOC126318706","ras-related GTP-binding protein A-like"
"LOC126318707","protein spalten-like"
"LOC126318718","small subunit ribosomal RNA"
"LOC126318722","small subunit ribosomal RNA"
"LOC126318723","small subunit ribosomal RNA"
"LOC126318727","large subunit ribosomal RNA"
"LOC126318729","large subunit ribosomal RNA"
"LOC126318743","mitochondrial import receptor subunit TOM22 homolog"
"LOC126318747","small subunit ribosomal RNA"
"LOC126318748","small subunit ribosomal RNA"
"LOC126318751","large subunit ribosomal RNA"
"LOC126318752","large subunit ribosomal RNA"
"LOC126318753","large subunit ribosomal RNA"
"LOC126318756","large subunit ribosomal RNA"
"LOC126319013","small subunit ribosomal RNA"
"LOC126319014","small subunit ribosomal RNA"
"LOC126319021","large subunit ribosomal RNA"
"LOC126319022","large subunit ribosomal RNA"
"LOC126319024","large subunit ribosomal RNA"
"LOC126319537","small subunit ribosomal RNA"
"LOC126319539","small subunit ribosomal RNA"
"LOC126319540","small subunit ribosomal RNA"
"LOC126319541","small subunit ribosomal RNA"
"LOC126319546","large subunit ribosomal RNA"
"LOC126319548","large subunit ribosomal RNA"
"LOC126319550","large subunit ribosomal RNA"
"LOC126319551","large subunit ribosomal RNA"
"LOC126319557","small subunit ribosomal RNA"
"LOC126319559","small subunit ribosomal RNA"
"LOC126319562","small subunit ribosomal RNA"
"LOC126319563","large subunit ribosomal RNA"
"LOC126319564","large subunit ribosomal RNA"
"LOC126319566","large subunit ribosomal RNA"
"LOC126319568","large subunit ribosomal RNA"
"LOC126319573","5.8S ribosomal RNA"
"LOC126319774","ras-like GTP-binding protein Rho1"
"LOC126319841","uncharacterized LOC126319841"
"LOC126319842","2-(3-amino-3-carboxypropyl)histidine synthase subunit 2-like"
"LOC126319843","ethanolamine-phosphate cytidylyltransferase-like"
"LOC126319844","uncharacterized LOC126319844"
"LOC126319845","AP-3 complex subunit beta-2-like"
"LOC126319846","guanine nucleotide-binding protein subunit beta-like"
"LOC126319847","uncharacterized LOC126319847"
"LOC126319848","uncharacterized LOC126319848"
"LOC126319849","uncharacterized LOC126319849"
"LOC126319850","uncharacterized LOC126319850"
"LOC126319851","transformer-2 protein homolog beta-like"
"LOC126319852","espin"
"LOC126319853","uncharacterized LOC126319853"
"LOC126319854","queuine tRNA-ribosyltransferase accessory subunit 2-like"
"LOC126319855","uncharacterized LOC126319855"
"LOC126319857","uncharacterized LOC126319857"
"LOC126319858","vacuolar protein sorting-associated protein 26-like"
"LOC126319859","palmitoyltransferase ZDHHC18-like"
"LOC126319860","nuclear pore membrane glycoprotein 210-like"
"LOC126319861","transmembrane emp24 domain-containing protein A-like"
"LOC126319863","trafficking protein particle complex subunit 11-like"
"LOC126319864","uncharacterized LOC126319864"
"LOC126319865","huntington interacting protein related 1-like"
"LOC126319866","uncharacterized LOC126319866"
"LOC126319867","uncharacterized LOC126319867"
"LOC126319868","ras-related protein Rab-1B-like"
"LOC126319869","uncharacterized LOC126319869"
"LOC126319870","uncharacterized LOC126319870"
"LOC126319871","uncharacterized LOC126319871"
"LOC126319872","uncharacterized LOC126319872"
"LOC126319873","EKC/KEOPS complex subunit bud32-like"
"LOC126319874","uncharacterized LOC126319874"
"LOC126319875","pentatricopeptide repeat-containing protein 1%2C mitochondrial-like"
"LOC126319876","inositol 2-dehydrogenase-like"
"LOC126319877","ribose-phosphate pyrophosphokinase-like"
"LOC126319878","uncharacterized LOC126319878"
"LOC126319879","protein raptor homolog"
"LOC126319880","uncharacterized LOC126319880"
"LOC126319881","uncharacterized LOC126319881"
"LOC126319882","uncharacterized LOC126319882"
"LOC126319883","extracellular serine proteinase-like"
